,,(1=male;  2=female),,,(1=happy;2=sad),,,(1=HM1/SM1; 2=HM2/SM2 ; 3=HM3/SM3),,,"[min:sec,ms]",(-100=negative;100=positive),,,,LEXICAL FEATURES,,,,,ACOUSTIC FEATURES,,,,,,,,,,FACIAL FEATURES,,,,,,,,,,,,,,,,,,,,,,
#segments,Participant,gender ,Age ,Cue_word,Cue_word_coded,Emotion_Memory_Aggregated,Emotional_memory,Emo_Mem_coded,Emotional_Memory_Topic,Emotional_Memory_Topic_Coded,Emotional_memory_duration ,Question: How did you feel at that moment when the emotional event happened?,Past Valence,Question: How did you feel now when talking about this emotional memory?,Present Valence,sentiment_M,sentiment_SD,interval_number,starttime,endtime,z_mean_pitch,z_sd_pitch,z_range_pitch,z_mean_intens,z_sd_intens,z_range_intens,z_hammarberg,z_ar,z_mean_dur_silent,z_sil_rate,AU01_int_dur_pmin,AU01_int_std,AU01_int_zscore,AU04_int_dur_pmin,AU04_int_std,AU04_int_zscore,AU09_int_dur_pmin,AU09_int_std,AU09_int_zscore,AU10_int_dur_pmin,AU10_int_std,AU10_int_zscore,AU12_int_dur_pmin,AU12_int_std,AU12_int_zscore,AU14_int_dur_pmin,AU14_int_std,AU14_int_zscore,AU15_int_dur_pmin,AU15_int_std,AU15_int_zscore,duration,topic_index
10,1,1,70,Happy,1,,HM2,2,HM2.2,2,"00:24,24",-60,-0.6,68,0.68,0.06875,0.0972271824131503,4,43.26,66.92,-0.519547212170739,0.791553145742539,-0.242072933131746,-0.20396915059596,-2.23292904536071,-2.51180105503188,1.88695297862378,1.04612880808888,-1.0809957478308,1.56429487702665,0.609137,0.0730919,3.83528,14.264,0.0914675,0.707151,0,0,-0.461841,54.8731,0.304391,-0.0134955,2.38579,0.06788,0.532042,56.0914,0.69888,-0.139647,0,0,-0.664811,23.657,2
11,1,1,70,Happy,1,,HM2,2,HM2.3,3,"00:13,13",-60,-0.6,68,0.68,-0.33,0.45254833995939,6,67.78,81.11,-0.952471602539306,-0.929861721373824,-0.231903773338249,-0.294317451205608,-0.605791268417886,-0.285145390298691,0.355210934575398,0.129589158716956,0.42987785917291,-0.280127959468659,0,0.0326258,-0.60829,45.1128,0.356686,1.58442,0,0.0896802,-0.308179,60,0.362567,0.635433,3.8797,0.256796,1.28266,59.6391,0.611875,0.239936,0,0.0122418,-0.65774,13.329,3
12,1,1,70,Happy,1,,HM2,2,HM2.4,4,"00:26,26",-60,-0.6,68,0.68,0.0257142857142857,0.00606091526731324,7,81.11,106.7,-1.4281189064361,-0.00241187819428571,-0.419029165557279,-1.35811077530694,-1.18460357877171,-1.16587649081022,0.030987597042139,0.535369150031635,-0.278029287512505,-0.0920750601522529,0,0.141094,-0.486321,22.283,0.142923,0.77594,0,0,-0.461841,54.2299,0.130082,-0.204979,17.1228,0.156537,1.09775,59.4371,0.625067,-0.00952584,0,0.0933883,-0.595206,25.591,4
13,1,1,70,Happy,1,,HM2,2,HM2.5,5,"00:39,39",-60,-0.6,68,0.68,-0.15,0.0433012701892219,11,122.83,162.24,-0.052978314889178,-0.0199625445262911,-0.373316141556657,-0.0716127512413098,-0.80396090687801,-0.613831364459902,0.587416829889139,0.671807370107826,-0.669656137225847,-0.976675898536626,2.10259,0.254637,4.57385,3.19959,0.242204,1.20812,0,0,-0.461841,48.9081,0.146929,-0.709505,16.4855,0.155349,0.687649,58.903,0.454029,0.470534,0.213306,0.0285357,4.51742,39.406,5
14,1,1,70,Happy,1,,HM2,2,HM2.6,6,"00:26,26",-60,-0.6,68,0.68,-0.121428571428571,0,13,164.17,190.02,-0.717232066331574,-0.362722693703883,-0.069687199855106,-0.381113596406676,-0.683235547629734,-0.658945125619284,0.616247360088466,-0.0499720221087044,1.33885516695276,0.443499597100871,6.46011,0.181644,4.33713,12.9667,0.0627404,0.442087,1.16189,0.59465,12.6725,51.7273,0.197344,-0.0321375,12.4555,0.138918,0.759729,53.9117,0.526438,0.60046,0.836561,0.310829,5.82416,25.849,6
15,1,1,70,Happy,1,,HM2,2,HM2.7,7,"00:10,10",-60,-0.6,68,0.68,0.3,0,14,190.02,199.84,-0.136197042195446,1.2355335677088,0.404895010539219,2.26578272837709,-0.83304579266249,-1.28700847400483,1.17087468479801,-0.307295919039965,0.925763310935217,1.33261370506884,0,0.441572,0.21461,23.2653,0.088459,0.720334,0,0,-0.461841,46.5306,0.272703,0.0143009,17.5102,0.55245,1.95972,52.4082,0.732297,0.240261,1.46939,0.225906,5.32616,9.82,7
16,1,1,70,Happy,1,,HM2,2,HM2.8,8,"00:19,19",-60,-0.6,68,0.68,-0.0805555555555556,0.0756147643823122,15,199.84,219.01,-0.236144518770228,0.796299307286141,-0.154901438819776,2.08871550333612,0.175461080292993,-0.0857548418276003,0.291903895346044,0.696903519396451,-0.823415672180414,0.699251540171184,0,0.19036,-0.406621,21.9207,0.129313,0.861807,0,0,-0.461841,51.1691,0.086742,-0.864885,15.9081,0.0926675,0.660698,54.1127,0.484844,0.539786,2.31733,0.318576,5.80227,19.168,8
17,1,1,70,Happy,1,,HM2,2,HM2.9,9,"00:39,39",-60,-0.6,68,0.68,0.0166666666666667,0.0288675134594813,17,239.28,278.68,-0.636869466949199,-0.794350626266847,-0.112819110100876,1.16353346093935,0.104480109033251,0.0436940320297284,-0.60628724757214,0.232801491002571,0.195953096592457,-0.212428915714753,0,0.278748,-0.230917,20.0305,0.0405087,0.400078,0,0,-0.461841,55,0.33028,0.297777,24.2988,0.50655,1.74507,56.4634,0.55938,0.272397,0,0.155619,-0.44584,39.396,9
18,1,1,70,Happy,1,,HM2,2,HM2.10,10,"00:34,34",-60,-0.6,68,0.68,-0.0183333333333333,0.0791096285753721,18,278.68,312.48,0.177058988314322,2.00093589532822,0.415690706244162,2.21914138344697,-0.0400209901817024,0.150432577140157,0.589218738026597,0.271682849055372,0.271737710686873,-0.343313733638971,0.248668,0.139147,3.59818,11.794,0.0720858,0.475644,0,0,-0.461841,48.6679,0.31313,-0.177401,37.3002,0.329075,1.18497,57.016,0.542362,0.32784,0,0.121938,-0.515884,33.798,10
19,1,1,70,Happy,1,,HM2,2,HM2.11,11,"00:14,14",-60,-0.6,68,0.68,0.277777777777778,0.260578653323524,19,312.48,326.61,-1.36205394743463,-1.2307169270047,-0.447279509154219,-0.301344541253029,0.478890305401709,0.68918909221019,0.670064349793876,-0.776699950804681,0.421992754816265,0.529251719189152,0,0.285724,-0.013424,2.63456,0.122772,0.719151,0,0,-0.461841,52.8612,0.265836,-0.213088,41.3031,0.111928,0.939638,59.5751,0.526833,0.264975,0,0.290553,-0.241077,14.127,11
20,1,1,70,Happy,1,HM3,HM3,3,HM3.1,1,"00:19,19",24,0.24,66,0.66,0.0916666666666667,0.180854453451756,2,21.61,40.77,-0.438011560248192,-0.326483529208401,-0.236075324406777,-0.0750876858801427,-2.32710867551998,-2.24354296911749,-1.60922931688121,-1.46489998833925,1.19911359529889,0.700755963365715,0,0.387286,1.29471,13.7931,0.0875278,0.707156,0,0.00666667,-0.489286,58.3699,0.247353,0.040084,8.58934,0.147934,0.363957,57.0533,0.563606,-0.690193,0,0.0879114,-0.609077,19.16,1
21,1,1,70,Happy,1,,HM3,3,HM3.2,2,"00:23,23",24,0.24,66,0.66,0.123333333333333,0.23623787446837,3,40.77,63.36,-0.423798923674536,-0.598573410935448,-0.377602825292672,1.0483200724696,1.03461937306944,1.35012103801185,0.813135855908034,-0.653340005709888,-0.712586149834245,-0.799153961581939,2.34043,0.205643,4.92872,3.24468,0.162966,1.21362,0,0,-0.501315,37.7128,0.359941,-0.141794,11.4362,0.0409607,-0.00524153,54.9468,0.979116,0.361055,0,0.136195,-0.638089,22.59,2
